hall,floor_block,date,day_number,biodegradable_kg,non_biodegradable_kg,recyclable_kg,hazardous_kg,population
Independence,Block C,2025-05-01,1,3.42,4.95,1.15,0.02,160
Independence,Block C,2025-05-02,2,3.58,5.12,1.22,0.01,160
Independence,Block C,2025-05-03,3,3.65,5.08,1.18,0.00,160
Independence,Block C,2025-05-04,4,3.78,5.25,1.28,0.03,160
Independence,Block C,2025-05-05,5,4.12,5.45,1.35,0.05,160
Independence,Block C,2025-05-06,6,4.35,5.68,1.42,0.04,160
Independence,Block C,2025-05-07,7,4.58,5.92,1.50,0.06,160
Tedder,Floor 1,2025-05-01,1,2.48,4.32,0.68,0.35,60
Tedder,Floor 1,2025-05-02,2,2.62,4.48,0.72,0.38,60
Tedder,Floor 1,2025-05-03,3,2.55,4.42,0.70,0.40,60
Tedder,Floor 1,2025-05-04,4,2.78,4.65,0.75,0.42,60
Tedder,Floor 1,2025-05-05,5,3.05,4.92,0.82,0.45,60
Tedder,Floor 1,2025-05-06,6,3.28,5.15,0.88,0.48,60
Tedder,Floor 1,2025-05-07,7,3.42,5.38,0.95,0.50,60
Awo,Floor 1,2025-05-01,1,6.32,4.08,1.75,0.68,40
Awo,Floor 1,2025-05-02,2,6.58,4.25,1.82,0.65,40
Awo,Floor 1,2025-05-03,3,6.72,4.35,1.88,0.70,40
Awo,Floor 1,2025-05-04,4,7.05,4.52,1.95,0.72,40
Awo,Floor 1,2025-05-05,5,7.38,4.78,2.08,0.75,40
Awo,Floor 1,2025-05-06,6,7.65,5.02,2.18,0.78,40
Awo,Floor 1,2025-05-07,7,7.92,5.25,2.28,0.82,40
