respondent_id,hall,level,meals_per_day,packaged_food_frequency,disposal_frequency_per_week,recycling_awareness,visitor_effect,separation_behaviour,waste_scale
1,Independence,100,2,1,4,3,0,1,1
2,Tedder,200,2,0,5,2,0,0,1
3,Awo,300,3,2,3,1,1,2,3
4,Independence,400,1,1,6,4,1,3,2
5,Tedder,500,2,2,2,3,0,1,2
6,Awo,100,3,1,4,2,1,0,3
7,Independence,200,2,0,5,2,1,2,2
8,Tedder,300,1,2,3,4,0,4,1
9,Awo,400,3,1,6,1,1,1,3
10,Independence,500,2,2,4,3,0,3,2
11,Tedder,100,1,1,5,2,1,0,1
12,Awo,200,2,0,2,5,0,2,2
13,Independence,300,3,2,4,3,1,1,3
14,Tedder,400,2,1,3,1,0,4,2
15,Awo,500,1,2,5,2,1,2,2
16,Independence,100,3,0,4,4,0,3,1
17,Tedder,200,2,1,6,3,1,0,3
18,Awo,300,1,2,3,2,0,1,2
